UF	Estado			Nome Internacional	Sigla	País
---	------------------	------------------	-----	---------------------------
AC	ACRE			-			BR	BRASIL
AL	ALAGOAS			-			BR	BRASIL
AM	AMAZONAS		-			BR	BRASIL
AP	AMAPÁ			-			BR	BRASIL
BA	BAHIA			-			BR	BRASIL
CE	CEARÁ			-			BR	BRASIL
DF	DISTRITO FEDERAL	-			BR	BRASIL
ES	ESPÍRITO SANTO		-			BR	BRASIL
GO	GOIÁS			-			BR	BRASIL
MA	MARANHÃO		-			BR	BRASIL
MG	MINAS GERAIS		-			BR	BRASIL
MS	MATO GROSSO DO SUL	-			BR	BRASIL
MT	MATO GROSSO		-			BR	BRASIL
PA	PARÁ			-			BR	BRASIL
PB	PARAÍBA			-			BR	BRASIL
PE	PERNAMBUCO		-			BR	BRASIL
PI	PIAUÍ			-			BR	BRASIL
PR	PARANÁ			-			BR	BRASIL
RJ	RIO DE JANEIRO		-			BR	BRASIL
RN	RIO GRANDE DO NORTE	-			BR	BRASIL
RO	RONDÔNIA		-			BR	BRASIL
RR	RORAIMA			-			BR	BRASIL
RS	RIO GRANDE DO SUL	-			BR	BRASIL
SC	SANTA CATARINA		-			BR	BRASIL
SE	SERGIPE			-			BR	BRASIL
SP	SÃO PAULO		-			BR	BRASIL
TO	TOCANTINS		-			BR	BRASIL
AK	ALASCA			ALASKA			US	ESTADOS UNIDOS DA AMÉRICA
AL	ALABAMA			ALABAMA			US	ESTADOS UNIDOS DA AMÉRICA
AR	ARKANSAS		ARKANSAS		US	ESTADOS UNIDOS DA AMÉRICA
AZ	ARIZONA			ARIZONA			US	ESTADOS UNIDOS DA AMÉRICA
CA	CALIFÓRNIA		CALIFORNIA		US	ESTADOS UNIDOS DA AMÉRICA
CO	COLORADO		COLORADO		US	ESTADOS UNIDOS DA AMÉRICA
CT	CONNECTICUT		CONNECTICUT		US	ESTADOS UNIDOS DA AMÉRICA
DE	DELAWARE		DELAWARE		US	ESTADOS UNIDOS DA AMÉRICA
FL	FLÓRIDA			FLORIDA			US	ESTADOS UNIDOS DA AMÉRICA
GA	GEÓRGIA			GEORGIA			US	ESTADOS UNIDOS DA AMÉRICA
HI	HAVAÍ			HAWAII			US	ESTADOS UNIDOS DA AMÉRICA
IA	IOWA			IOWA			US	ESTADOS UNIDOS DA AMÉRICA
ID	IDAHO			IDAHO			US	ESTADOS UNIDOS DA AMÉRICA
IL	ILLINOIS		ILLINOIS		US	ESTADOS UNIDOS DA AMÉRICA
IN	INDIANA			INDIANA			US	ESTADOS UNIDOS DA AMÉRICA
KS	KANSAS			KANSAS			US	ESTADOS UNIDOS DA AMÉRICA
KY	KENTUCKY		KENTUCKY		US	ESTADOS UNIDOS DA AMÉRICA
LA	LOUISIANA		LOUISIANA		US	ESTADOS UNIDOS DA AMÉRICA
MA	MASSACHUSETTS		MASSACHUSETTS		US	ESTADOS UNIDOS DA AMÉRICA
MD	MARYLAND		MARYLAND		US	ESTADOS UNIDOS DA AMÉRICA
ME	MAINE			MAINE			US	ESTADOS UNIDOS DA AMÉRICA
MI	MICHIGAN		MICHIGAN		US	ESTADOS UNIDOS DA AMÉRICA
MN	MINNESOTA		MINNESOTA		US	ESTADOS UNIDOS DA AMÉRICA
MO	MISSOURI		MISSOURI		US	ESTADOS UNIDOS DA AMÉRICA
